Company Name,Funded Date,Funded Amount,Fund Type,Company Linkedin Url,Website,Industries
Groyyo,2024-01-18,400000000,Debt Financing,https://www.linkedin.com/company/groyyo/,https://www.groyyo.com/,AI
Eekifoods,2024-01-05,250900,Series A,https://www.linkedin.com/company/eekifoods/about/,https://eekifoods.com/,AI
KisanKonnect,2024-08-29,,Seed,https://www.linkedin.com/company/kisankonnect,https://www.kisankonnect.in,AI
GrayQuest,2024-09-20,530000000,Series B,https://www.linkedin.com/company/grayquest,https://www.grayquest.com,AI
Skippi Ice Pops,2024-05-28,100000000,Seed,https://www.linkedin.com/company/skippiicepops/,https://skippi.in/,AI
Upswing Financial Technologies,2024-01-17,4200000,Seed,https://www.linkedin.com/company/upswing-financial-technologies/about/,https://upswing.one/,AI
Perpetuity Capital,2024-07-15,70000000,Debt Financing,https://in.linkedin.com/company/perpetuity-capital,https://perpetuitycapital.in,AI
Auxilo,2024-07-23,1000000000,Debt Financing,https://www.linkedin.com/company/auxilo/,https://www.auxilo.com,AI
FreshBus,2024-08-13,439000000,Series A,https://www.linkedin.com/company/freshbus_india/,https://www.freshbus.com/,AI
LearnTube,2024-10-08,2000000,Seed,https://www.linkedin.com/company/careerninja/,https://learntube.ai,AI
AgNext Technologies,2024-06-25,,Venture - Series Unknown,https://www.linkedin.com/company/agnextworld,https://www.agnext.com,AI
THE HOUSE OF RARE,2024-06-28,1500000000,Venture - Series Unknown,https://in.linkedin.com/company/rare-rabbit,https://thehouseofrare.com/,AI
Yotuh Energy,2024-08-19,15300000,Seed,https://www.linkedin.com/company/yotuh-energy/,https://yotuh.com/,AI
HROne,2024-09-11,330000000,Series B,https://www.linkedin.com/company/hronecloud/,https://hrone.cloud/,AI
NoPo Nanotechnologies,2024-05-22,249000000,Seed,https://www.linkedin.com/company/nopo-nanotechnologies-india-pvt-ltd,https://www.nopo.in,AI
Exponent Energy,2023-12-14,26400000,Series B,https://www.linkedin.com/company/exponent-energy/,https://www.exponent.energy/,AI
LOBB,2024-07-04,242000000,Seed,https://www.linkedin.com/company/lobb,https://lobb.in,AI
Bluecopa,2024-09-18,149000000,Seed,https://www.linkedin.com/company/bluecopa/,https://www.bluecopa.com/,AI
Futwork,2024-09-12,209000000,Series A,https://www.linkedin.com/company/futwork/?originalSubdomain=in,https://futwork.com/,AI
O'hi App,2024-06-26,80000000,Seed,https://www.linkedin.com/company/o-hi-social-network/,https://www.ohiapp.com,AI
Commenda,2024-08-06,6111998,Venture - Series Unknown,https://www.linkedin.com/company/commenda/about/,https://commenda.io/,AI
Care.Fi,2024-09-26,80000000,Debt Financing,https://www.linkedin.com/company/care-fi,https://www.carefi.in,AI
SingleInterface,2024-04-04,30000000,Venture - Series Unknown,https://www.linkedin.com/company/singleinterface,https://www.singleinterface.com,AI
Timbuckdo Innovations,2024-07-10,20000000,Seed,https://www.linkedin.com/company/timbuckdo/,https://www.timbuckdo.com,AI
Castler,2023-09-26,5500000,Seed,https://www.linkedin.com/company/castler,https://castler.com,AI
NewSpace,2024-03-01,33000000,Venture - Series Unknown,https://www.linkedin.com/company/newspacert,https://www.newspace.co.in,AI
Sunfox Technologies,2024-08-28,200000000,Seed,https://www.linkedin.com/company/sunfox,https://sunfox.in,AI
Indkal Technologies,2024-06-12,3000000000,Series A,https://www.linkedin.com/company/indkal-technologies-pvt-ltd,https://indkal.com,AI
iBus Networks & Infrastructure,2024-09-17,2800000000,Private Equity,https://www.linkedin.com/company/ibus-networks?trk=nav_account_sub_nav_company_admin,https://www.ibusnetworks.com/,AI
Llumo AI,2024-08-21,80000000,Seed,https://www.linkedin.com/company/llumoai,https://www.llumo.ai,AI
Ayna,2024-06-18,1500000,Seed,https://www.linkedin.com/company/getayna,https://getayna.com,AI
Rubick.ai,2024-01-01,,Venture - Series Unknown,https://www.linkedin.com/company/rubick-ai/,https://www.rubick.ai,AI
Two Brothers Organic Farms,2024-06-25,582500000,Series A,https://www.linkedin.com/company/two-brothers-organic-farms,https://twobrothersindiashop.com,AI
Clodura.AI,2024-06-06,2000000,Seed,https://www.linkedin.com/company/clodura-systems/,https://www.clodura.ai/,AI
The Health Factory,2024-09-25,3500000,Seed,https://www.linkedin.com/company/the-health-factory/,https://thehealthfactory.in,AI
Multipl,2024-07-17,120000000,Seed,https://www.linkedin.com/company/multiplapp,https://multipl.xyz,AI
Zintlr,2024-09-30,75000000,Seed,https://www.linkedin.com/company/zintlr/,https://zintlr.com,AI
Zvolv,2024-02-28,160000000,Venture - Series Unknown,https://www.linkedin.com/company/zestl/,https://zvolv.com/,AI
FabAlley,2024-05-27,375000000,Venture - Series Unknown,https://www.linkedin.com/company/faballey,https://www.faballey.com,AI
Nected,2024-07-31,1500000,Seed,https://www.linkedin.com/company/nected-ai,https://nected.ai,AI
Figr,2024-10-09,2250000,Seed,https://www.linkedin.com/company/figrdesign/,https://figr.design/,AI
Frammer AI,2024-10-07,2000000,Seed,https://www.linkedin.com/company/frammer-ai,https://frammer.com,AI
EyeROV,2024-08-13,100000000,Seed,https://www.linkedin.com/company/eyerov,https://eyerov.com/,AI
Glamplus,2024-01-10,165000000,Seed,https://www.linkedin.com/company/glamplus,https://glamplus.in/,AI
